,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
38,Afghanistan,AFG,2018,59.12084961,16.79999924,6163380,0.043040551
39,Afghanistan,AFG,2019,59.35601807,17.60000038,6647431,0.051740516
40,Afghanistan,AFG,2020,58.2558136,18.39999962,7170891,0.068253607
41,Albania,ALB,1980,0,0,0,0
42,Albania,ALB,1981,0,0,0,0
43,Albania,ALB,1982,0,0,0,0
44,Albania,ALB,1983,0,0,0,0
45,Albania,ALB,1984,0,0,0,0
46,Albania,ALB,1985,0,0,0,0
47,Albania,ALB,1986,0,0,0,0
48,Albania,ALB,1987,0,0,0,0
49,Albania,ALB,1988,0,0,0,0
50,Albania,ALB,1989,0,0,0,0
51,Albania,ALB,1990,0,0,0,0
52,Albania,ALB,1991,0,0,0,0
53,Albania,ALB,1992,0,0,0,0
54,Albania,ALB,1993,0,0,0,0
55,Albania,ALB,1994,0,0,0,0
56,Albania,ALB,1995,0,0.011168695,367,0
57,Albania,ALB,1996,0.074224673,0.032196827,1053,0
58,Albania,ALB,1997,0.106460132,0.04859392,1581,0
59,Albania,ALB,1998,0.180024832,0.065027371,2102,0
60,Albania,ALB,1999,0.352515787,0.081437044,2613,0
61,Albania,ALB,2000,0.952019393,0.114097349,3631,0
62,Albania,ALB,2001,12.54591465,0.325798362,10274,0
63,Albania,ALB,2002,27.22166061,0.390081286,12184,0
64,Albania,ALB,2003,35.27876663,0.971900403,30061,0
65,Albania,ALB,2004,40.56791687,2.420387745,74127,0
66,Albania,ALB,2005,49.57363892,6.043890953,183289,0.008811686
67,Albania,ALB,2006,62.35298538,9.609991074,288626,0
68,Albania,ALB,2007,76.54705048,15.03611565,447488,0.329598099
69,Albania,ALB,2008,61.93244934,23.86000061,704273,2.131430626
70,Albania,ALB,2009,82.86919403,41.20000076,1207388,3.094467402
71,Albania,ALB,2010,91.32805634,45,1311031,3.579992533
72,Albania,ALB,2011,105.8529129,47,1363310,4.377871513
73,Albania,ALB,2012,120.1058578,49.40000153,1428742,5.493573189
74,Albania,ALB,2013,126.9369659,51.79999924,1495476,6.286818027
75,Albania,ALB,2014,115.9979324,54.29999924,1566066,7.180321217
76,Albania,ALB,2015,117.6592178,56.90000153,1640132,8.40231514
77,Albania,ALB,2016,116.7444458,59.59999847,1717114,9.228640556
78,Albania,ALB,2017,125.71035,62.40000153,1796721,10.52684498
79,Albania,ALB,2018,94.17700195,65.40000153,1881570,12.55565929
80,Albania,ALB,2019,91.29301453,68.55039215,1970058,15.14073467
81,Albania,ALB,2020,91.00294495,72.23999786,2071012,17.68495178
82,Algeria,DZA,1980,0,0,0,0
83,Algeria,DZA,1981,0,0,0,0
84,Algeria,DZA,1982,0,0,0,0
85,Algeria,DZA,1983,0,0,0,0
86,Algeria,DZA,1984,0,0,0,0
87,Algeria,DZA,1985,0,0,0,0
88,Algeria,DZA,1986,0,0,0,0
89,Algeria,DZA,1987,0,0,0,0
90,Algeria,DZA,1988,0,0,0,0
91,Algeria,DZA,1989,0,0,0,0
92,Algeria,DZA,1990,0.001824614,0,0,0
93,Algeria,DZA,1991,0.018109521,0,0,0
94,Algeria,DZA,1992,0.01768885,0,0,0
95,Algeria,DZA,1993,0.017300202,0,0,0
96,Algeria,DZA,1994,0.004777808,0.000360674,101,0
97,Algeria,DZA,1995,0.016312106,0.001768954,504,0
98,Algeria,DZA,1996,0.039977577,0.001738533,504,0
99,Algeria,DZA,1997,0.058501203,0.010268463,3027,0
100,Algeria,DZA,1998,0.059616953,0.020238554,6056,0
101,Algeria,DZA,1999,0.235114276,0.199523836,60548,0
102,Algeria,DZA,2000,0.277041912,0.491705686,151321,0
103,Algeria,DZA,2001,0.317949712,0.646113992,201594,0
104,Algeria,DZA,2002,1.413412213,1.591641307,503352,0
105,Algeria,DZA,2003,4.48462677,2.195359707,703742,0.055789463
106,Algeria,DZA,2004,14.93450928,4.634475231,1506676,0.110118136
107,Algeria,DZA,2005,41.2110672,5.843942165,1925970,0.407243222
108,Algeria,DZA,2006,62.41774368,7.375985146,2466167,0.505335748
109,Algeria,DZA,2007,80.6706543,9.451190948,3211877,0.840106666
110,Algeria,DZA,2008,77.83184052,10.18000031,3519185,1.396462798
111,Algeria,DZA,2009,92.63014221,11.22999954,3952515,2.31505847
112,Algeria,DZA,2010,91.11307526,12.5,4482044,2.501566648
113,Algeria,DZA,2011,97.1481781,14.89999962,5444989,2.675159216
114,Algeria,DZA,2012,100.3846817,18.20000076,6781424,3.088891506
115,Algeria,DZA,2013,103.6101379,22.5,8550141,3.356045008
116,Algeria,DZA,2014,111.2386093,29.5,11434250,4.109815598
117,Algeria,DZA,2015,108.8089371,38.20000076,15105483,5.712209225
118,Algeria,DZA,2016,116.0042114,42.94552612,17323937,7.051711082
119,Algeria,DZA,2017,110.7672501,47.6910553,19618454,7.756293774
120,Algeria,DZA,2018,111.6647949,49.03846741,20560362,7.262935638
121,Algeria,DZA,2019,105.5105972,57.90000153,24726411,8.321683884
122,Algeria,DZA,2020,103.8873138,62.90000153,27331100,8.643942833
123,American Samoa,ASM,1980,0,0,0,0
124,American Samoa,ASM,1981,0,0,0,0
125,American Samoa,ASM,1982,0,0,0,0
126,American Samoa,ASM,1983,0,0,0,0
127,American Samoa,ASM,1984,0,0,0,0
128,American Samoa,ASM,1985,0,0,0,0
129,American Samoa,ASM,1986,0,0,0,0
130,American Samoa,ASM,1990,0,0,0,0
131,American Samoa,ASM,1991,0,0,0,0
132,American Samoa,ASM,1992,1.4029181,0,0,0
133,American Samoa,ASM,1993,1.764014125,0,0,0
134,American Samoa,ASM,1994,2.303483963,0,0,0
135,American Samoa,ASM,1995,2.351347685,0,0,0
136,American Samoa,ASM,1996,2.398037195,0,0,0
137,American Samoa,ASM,1997,2.535267353,0,0,0
138,American Samoa,ASM,1998,2.67041707,0,0,0
139,American Samoa,ASM,1999,3.154961109,0,0,0
140,American Samoa,ASM,2000,3.445115089,0,0,0
141,American Samoa,ASM,2001,3.685848236,0,0,0
142,American Samoa,ASM,2002,3.446174622,0,0,0
143,American Samoa,ASM,2003,3.529174566,0,0,0
144,American Samoa,ASM,2004,3.770044088,0,0,0
145,Andorra,AND,1980,0,0,0,0
146,Andorra,AND,1981,0,0,0,0
147,Andorra,AND,1982,0,0,0,0
148,Andorra,AND,1983,0,0,0,0
149,Andorra,AND,1984,0,0,0,0
150,Andorra,AND,1985,0,0,0,0
151,Andorra,AND,1986,0,0,0,0
152,Andorra,AND,1987,0,0,0,0
153,Andorra,AND,1988,0,0,0,0
154,Andorra,AND,1989,0,0,0,0
155,Andorra,AND,1990,0,0,0,0
156,Andorra,AND,1991,0,0,0,0
157,Andorra,AND,1992,1.307566881,0,0,0
158,Andorra,AND,1993,1.279296756,0,0,0
159,Andorra,AND,1994,1.250857592,0,0,0
160,Andorra,AND,1995,4.424432278,0,0,0
161,Andorra,AND,1996,8.527035713,1.526601076,980,0
162,Andorra,AND,1997,13.39717388,3.050175428,1974,0
163,Andorra,AND,1998,22.0089798,6.886209011,4490,0
164,Andorra,AND,1999,32.00248718,7.635685921,5015,0
165,Andorra,AND,2000,36.00397491,10.53883553,6968,0
166,Andorra,AND,2001,43.70145798,0,0,0
167,Andorra,AND,2002,46.81008911,11.26046848,7980,1.638852835
168,Andorra,AND,2003,70.90951538,13.54641247,10015,4.920608997
169,Andorra,AND,2004,76.5515976,26.83795357,20652,8.239336967
170,Andorra,AND,2005,81.85932922,37.6057663,30026,13.11194801
171,Andorra,AND,2006,85.19748688,48.93684769,39267,18.04600334
172,Andorra,AND,2007,76.8020401,70.87000275,55411,22.40578651
173,Andorra,AND,2008,76.55672455,70.04000092,53282,24.6500206
174,Andorra,AND,2009,76.42281342,78.52999878,58017,27.16100502
175,Andorra,AND,2010,77.55568695,81,57949,29.01396179
176,Andorra,AND,2011,77.66725922,81,57175,30.76289368
177,Andorra,AND,2012,77.48068237,82.69999695,58746,32.64100266
178,Andorra,AND,2013,79.147995,84.40000153,60249,34.33530426
179,Andorra,AND,2014,83.62390137,86.09999847,61685,36.31979752
180,Andorra,AND,2015,91.44351196,87.90000153,63082,39.34573364
181,Andorra,AND,2016,98.49282837,89.69999695,65089,42.03268051
182,Andorra,AND,2017,104.3324127,91.56746674,67625,44.52409744
183,Andorra,AND,2018,107.282547,0,0,46.31197739
184,Andorra,AND,2019,113.9573746,0,0,47.13126373
185,Andorra,AND,2020,121.6592255,0,0,47.88714218
186,Angola,AGO,1980,0,0,0,0
187,Angola,AGO,1981,0,0,0,0
188,Angola,AGO,1982,0,0,0,0
189,Angola,AGO,1983,0,0,0,0
190,Angola,AGO,1984,0,0,0,0
191,Angola,AGO,1985,0,0,0,0
192,Angola,AGO,1986,0,0,0,0
193,Angola,AGO,1987,0,0,0,0
194,Angola,AGO,1988,0,0,0,0
195,Angola,AGO,1989,0,0,0,0
196,Angola,AGO,1990,0,0,0,0
197,Angola,AGO,1991,0,0,0,0
198,Angola,AGO,1992,0,0,0,0
199,Angola,AGO,1993,0.00841297,0,0,0
200,Angola,AGO,1994,0.013507362,0,0,0
201,Angola,AGO,1995,0.014298821,0,0,0
202,Angola,AGO,1996,0.022901634,0.000775929,112,0
203,Angola,AGO,1997,0.047419339,0.005673746,844,0
204,Angola,AGO,1998,0.063933954,0.018453725,2836,0
205,Angola,AGO,1999,0.151258573,0.071964085,11421,0
206,Angola,AGO,2000,0.157397106,0.105045564,17221,0
207,Angola,AGO,2001,0.442588776,0.136013865,23043,0
208,Angola,AGO,2002,0.799113333,0.270376742,47360,0
209,Angola,AGO,2003,1.931409717,0.370682061,67184,0
210,Angola,AGO,2004,3.944952965,0.464814603,87251,0
211,Angola,AGO,2005,8.290372849,1.143366814,222396,0
212,Angola,AGO,2006,15.15947914,1.5,302435,0.037012588
213,Angola,AGO,2007,23.73331642,1.700000048,355465,0.0559665
214,Angola,AGO,2008,31.21990395,1.899999976,412139,0.073480219
215,Angola,AGO,2009,36.01900864,2.299999952,517676,0.066624381
216,Angola,AGO,2010,40.26060104,2.799999952,654197,0.064222649
217,Angola,AGO,2011,49.84677505,4.699999809,1140179,0.06530375
218,Angola,AGO,2012,50.92060089,7.699999809,1939499,0.081695303
219,Angola,AGO,2013,51.06592178,13,3399112,0.085648015
220,Angola,AGO,2014,52.15898514,21.39999962,5805465,0.32570231
221,Angola,AGO,2015,49.79322433,22,6188099,0.55074203
222,Angola,AGO,2016,45.07629013,23.20000076,6763900,0.293747187
223,Angola,AGO,2017,44.68610764,26,7854245,0.325048655
224,Angola,AGO,2018,43.13051987,29,9069326,0.355604529
225,Angola,AGO,2019,46.59863663,32.40000153,10482564,0.37413007
226,Angola,AGO,2020,44.55950928,36,12034256,0.701661587
227,Antigua and Barbuda,ATG,1980,0,0,0,0
228,Antigua and Barbuda,ATG,1981,0,0,0,0
229,Antigua and Barbuda,ATG,1982,0,0,0,0
230,Antigua and Barbuda,ATG,1983,0,0,0,0
231,Antigua and Barbuda,ATG,1984,0,0,0,0
232,Antigua and Barbuda,ATG,1985,0,0,0,0
233,Antigua and Barbuda,ATG,1986,0,0,0,0
234,Antigua and Barbuda,ATG,1987,0,0,0,0
235,Antigua and Barbuda,ATG,1988,0,0,0,0
236,Antigua and Barbuda,ATG,1990,0,0,0,0
237,Antigua and Barbuda,ATG,1996,1.852564335,2.858449459,1996,0
238,Antigua and Barbuda,ATG,1997,1.952471256,3.480536938,2479,0
239,Antigua and Barbuda,ATG,1998,2.048508644,4.071716309,2956,0
240,Antigua and Barbuda,ATG,1999,11.38281059,5.300681114,3914,0
241,Antigua and Barbuda,ATG,2000,28.94127464,6.482225895,4866,0
242,Antigua and Barbuda,ATG,2001,32.37838745,8.899285316,6784,0
243,Antigua and Barbuda,ATG,2002,48.79621887,12.5,9652,0
244,Antigua and Barbuda,ATG,2003,58.13367081,17.22864914,13455,0
245,Antigua and Barbuda,ATG,2004,67.21768951,24.26654434,19160,2.06881094
246,Antigua and Barbuda,ATG,2005,105.5668106,27,21567,7.120849609
247,Antigua and Barbuda,ATG,2006,133.2184601,30,24273,1.863271475
248,Antigua and Barbuda,ATG,2007,133.7455139,34,27892,2.696784258
249,Antigua and Barbuda,ATG,2008,159.9494171,38,31641,5.838612556
250,Antigua and Barbuda,ATG,2009,155.5403137,42,35509,18.46079445
251,Antigua and Barbuda,ATG,2010,190.8142853,47,40284,8.087199211
252,Antigua and Barbuda,ATG,2011,197.2012177,52,45109,6.722463131
253,Antigua and Barbuda,ATG,2012,140.894165,58,50859,14.4565258
254,Antigua and Barbuda,ATG,2013,124.9595718,63.40000153,56117,17.09755707
255,Antigua and Barbuda,ATG,2014,129.6871338,67.77999878,60495,11.61815834
256,Antigua and Barbuda,ATG,2015,188.1025085,70,62971,10.68764305
257,Antigua and Barbuda,ATG,2016,190.4217834,73,66120,9.797201157
258,Antigua and Barbuda,ATG,2017,192.8195648,0,0,9.431391716
259,Antigua and Barbuda,ATG,2019,189.4602509,0,0,8.237401962
260,Antigua and Barbuda,ATG,2020,187.8912201,0,0,8.169183731
261,Argentina,ARG,1980,0,0,0,0
262,Argentina,ARG,1981,0,0,0,0
263,Argentina,ARG,1982,0,0,0,0
264,Argentina,ARG,1983,0,0,0,0
265,Argentina,ARG,1984,0,0,0,0
266,Argentina,ARG,1985,0,0,0,0
267,Argentina,ARG,1986,0,0,0,0
268,Argentina,ARG,1987,0,0,0,0
269,Argentina,ARG,1988,0,0,0,0
270,Argentina,ARG,1989,0.007154381,0,0,0
271,Argentina,ARG,1990,0.036788769,0,0,0
272,Argentina,ARG,1991,0.075576648,0,0,0
273,Argentina,ARG,1992,0.138952985,0.002992874,1005,0
274,Argentina,ARG,1993,0.329701602,0.029527064,10047,0
275,Argentina,ARG,1994,0.70100081,0.043705951,15074,0
276,Argentina,ARG,1995,1.163985968,0.086277083,30150,0
277,Argentina,ARG,1996,1.892449975,0.141954705,50237,0
278,Argentina,ARG,1997,5.634374142,0.280339897,100406,0
279,Argentina,ARG,1998,7.406006336,0.830766678,301013,0
280,Argentina,ARG,1999,10.55432606,3.284482002,1203862,0
281,Argentina,ARG,2000,17.59645081,7.038682938,2609294,0
282,Argentina,ARG,2001,18.08631325,9.780807495,3665895,0.252175331
283,Argentina,ARG,2002,17.42684555,10.88212395,4122695,0.392763078
284,Argentina,ARG,2003,20.58984566,11.91369629,4560344,0.679610133
285,Argentina,ARG,2004,35.10441971,16.03668404,6201193,1.410369396
286,Argentina,ARG,2005,56.96774673,17.72058296,6923521,2.382751703
287,Argentina,ARG,2006,80.19976807,20.92720222,8261401,4.030842304
288,Argentina,ARG,2007,101.8079605,25.94663239,10346509,6.551710129
289,Argentina,ARG,2008,116.0393906,28.11262321,11322013,7.771278858
290,Argentina,ARG,2009,129.6422119,34,13832677,8.672885895
291,Argentina,ARG,2010,139.5800171,45,18495056,9.85001564
292,Argentina,ARG,2011,146.9554596,51,21175575,11.06478119
293,Argentina,ARG,2012,154.059021,55.79999924,23409419,12.33040047
294,Argentina,ARG,2013,159.6394653,59.90000153,25390573,14.81423759
295,Argentina,ARG,2014,143.6158295,64.69999695,27707168,15.29042816
296,Argentina,ARG,2015,143.5668335,68.0430603,29433430,15.9158926
297,Argentina,ARG,2016,146.4538269,70.96897888,30990901,16.66727066
298,Argentina,ARG,2017,140.877121,74.29490662,32730336,17.84999657
299,Argentina,ARG,2018,132.0931549,77.69999695,34509360,19.10152245
300,Argentina,ARG,2019,125.8421097,79.90000153,35751668,19.63610649
301,Argentina,ARG,2020,121.1704025,85.5,38505807,21.1780014
302,Armenia,ARM,1980,0,0,0,0
303,Armenia,ARM,1981,0,0,0,0
304,Armenia,ARM,1982,0,0,0,0
305,Armenia,ARM,1983,0,0,0,0
306,Armenia,ARM,1984,0,0,0,0
307,Armenia,ARM,1985,0,0,0,0
308,Armenia,ARM,1986,0,0,0,0
309,Armenia,ARM,1987,0,0,0,0
310,Armenia,ARM,1988,0,0,0,0
311,Armenia,ARM,1989,0,0,0,0
312,Armenia,ARM,1990,0,0,0,0
313,Armenia,ARM,1991,0,0,0,0
314,Armenia,ARM,1992,0,0,0,0
315,Armenia,ARM,1993,0,0,0,0
316,Armenia,ARM,1994,0,0.009117014,308,0
317,Armenia,ARM,1995,0,0.052743122,1753,0
318,Armenia,ARM,1996,0.009469036,0.094572902,3120,0
319,Armenia,ARM,1997,0.159586906,0.111650936,3653,0
320,Armenia,ARM,1998,0.251906991,0.128659472,4169,0
321,Armenia,ARM,1999,0.264193654,0.970737755,31122,0
322,Armenia,ARM,2000,0.569652438,1.300469995,41206,0
323,Armenia,ARM,2001,0.83600843,1.631094694,51104,0.000196677
324,Armenia,ARM,2002,2.35166502,1.960404992,60871,0.00026368
325,Armenia,ARM,2003,3.789979458,4.575217247,141105,0.000331353
326,Armenia,ARM,2004,6.775340557,4.899008751,150191,0.033325333
327,Armenia,ARM,2005,10.66807461,5.25298357,160072,0.066750102
328,Armenia,ARM,2006,42.58388138,5.631787777,170445,0
329,Armenia,ARM,2007,63.98416138,6.021253586,180902,0.132986978
330,Armenia,ARM,2008,49.59386063,6.210000038,185271,0.474580914
331,Armenia,ARM,2009,75.88054657,15.30000019,453538,1.38111949
332,Armenia,ARM,2010,134.3387299,25,736574,3.25254178
333,Armenia,ARM,2011,111.6347122,32,937275,5.582161427
334,Armenia,ARM,2012,115.2069168,37.5,1092910,7.352142811
335,Armenia,ARM,2013,115.484848,41.90000153,1215681,8.388287544
336,Armenia,ARM,2014,118.7723618,54.62280655,1578565,9.369734764
337,Armenia,ARM,2015,118.4217148,59.10083389,1701275,9.786833763
338,Armenia,ARM,2016,116.9754639,64.34603119,1844055,10.18921757
339,Armenia,ARM,2017,118.4642334,64.74488068,1846478,10.70768642
340,Armenia,ARM,2018,121.2590179,68.24504852,1935814,11.77093506
341,Armenia,ARM,2019,122.3487549,66.54395294,1876941,13.04053688
342,Armenia,ARM,2020,117.7357712,76.51000214,2146572,14.52486324
343,Aruba,ABW,1980,0,0,0,0
344,Aruba,ABW,1981,0,0,0,0
345,Aruba,ABW,1982,0,0,0,0
346,Aruba,ABW,1983,0,0,0,0
347,Aruba,ABW,1984,0,0,0,0
348,Aruba,ABW,1985,0,0,0,0
349,Aruba,ABW,1986,0,0,0,0
350,Aruba,ABW,1987,0,0,0,0
351,Aruba,ABW,1988,0,0,0,0
352,Aruba,ABW,1989,0,0,0,0
353,Aruba,ABW,1990,0,0,0,0
354,Aruba,ABW,1991,0,0,0,0
355,Aruba,ABW,1992,0.02931047,0,0,0
356,Aruba,ABW,1995,2.138837814,0,0,0
357,Aruba,ABW,1996,3.605769157,2.768382549,2199,0
358,Aruba,ABW,1997,3.981229067,0,0,0
359,Aruba,ABW,1998,6.164281368,0,0,0
360,Aruba,ABW,1999,13.4823885,4.506179333,3915,0
361,Aruba,ABW,2000,16.51018715,15.44282341,13762,0
362,Aruba,ABW,2001,57.05181885,17.10000038,15510,0
363,Aruba,ABW,2002,65.0581131,18.79999924,17258,0
364,Aruba,ABW,2003,72.10282898,20.79999924,19284,1.44201529
365,Aruba,ABW,2004,99.64754486,23,21517,7.052067757
366,Aruba,ABW,2005,103.3849487,25.39999962,24002,12.27019596
367,Aruba,ABW,2006,108.128212,28,26774,13.83759403
368,Aruba,ABW,2007,112.2147369,30.89999962,29910,15.80288887
369,Aruba,ABW,2008,119.1874313,52,50963,18.1495285
370,Aruba,ABW,2009,126.1643066,58,57549,18.53038216
371,Aruba,ABW,2010,129.6363678,62,62219,18.90153313
372,Aruba,ABW,2012,131.6302643,74,75573,0
373,Aruba,ABW,2013,134.5495758,78.90000153,81181,18.61204529
374,Aruba,ABW,2014,134.6194611,83.77999878,86802,18.50174332
375,Aruba,ABW,2015,135.1338348,88.66122437,92446,18.20952415
376,Aruba,ABW,2019,132.6259918,0,0,17.87158775
377,Aruba,ABW,2020,132.0645142,0,0,17.79592705
378,Australia,AUS,1980,0,0,0,0
379,Australia,AUS,1981,0,0,0,0
380,Australia,AUS,1982,0,0,0,0
381,Australia,AUS,1983,0,0,0,0
382,Australia,AUS,1984,0,0,0,0
383,Australia,AUS,1985,0,0,0,0
384,Australia,AUS,1986,0,0,0,0
385,Australia,AUS,1987,0.027330866,0,0,0
386,Australia,AUS,1988,0.192204654,0,0,0
387,Australia,AUS,1989,0.565568149,0,0,0
388,Australia,AUS,1990,1.090427399,0.58509469,99747,0
389,Australia,AUS,1991,1.695589781,1.097203851,189499,0
390,Australia,AUS,1992,2.855965137,1.768764853,308871,0
391,Australia,AUS,1993,3.919740677,1.974611044,348154,0
392,Australia,AUS,1994,6.854498863,2.232101202,397437,0
393,Australia,AUS,1995,12.46035004,2.759654522,496821,0
394,Australia,AUS,1996,21.93600082,3.275249958,596484,0
395,Australia,AUS,1997,24.8977356,16.36935806,3013640,0
396,Australia,AUS,1998,26.45932388,30.81324005,5731776,0
397,Australia,AUS,1999,33.61154556,40.78378296,7667715,0
398,Australia,AUS,2000,45.08349228,46.75611496,8892063,0
399,Australia,AUS,2001,57.99526215,52.6892662,10141707,0.639760852
400,Australia,AUS,2002,65.30467224,0,0,1.33031857
401,Australia,AUS,2003,73.10884094,0,0,2.633487701
402,Australia,AUS,2004,82.89884949,0,0,5.090632915
403,Australia,AUS,2005,91.28509521,63,12708191,9.990812302
404,Australia,AUS,2006,96.26672363,66,13508241,19.00001144
405,Australia,AUS,2007,101.6430054,69.44999695,14467012,0
406,Australia,AUS,2008,103.6926117,71.66999817,15228352,24.91529083
407,Australia,AUS,2009,102.0649719,74.25,16083217,24.00365829
408,Australia,AUS,2010,101.5586853,76,16734566,24.87059212
409,Australia,AUS,2011,105.550621,79.48770142,17771091,24.63395119
410,Australia,AUS,2012,106.2611542,79,17956125,25.03935051
411,Australia,AUS,2013,107.2461548,83.45349884,19287596,25.7192955
412,Australia,AUS,2014,106.2025299,84,19714446,27.69911194
413,Australia,AUS,2015,107.6778336,84.56051636,20142518,28.53023911
414,Australia,AUS,2016,109.4312973,86.54000092,20938964,30.39231491
415,Australia,AUS,2017,108.4417801,86.54505157,21281719,32.22340012
416,Australia,AUS,2018,111.0122528,87.59999847,21881803,33.84715271
417,Australia,AUS,2019,109.2520065,88.59999847,22466450,34.9265213
418,Australia,AUS,2020,107.659317,89.59999847,23000366,35.68494415
419,Austria,AUT,1980,0,0,0,0
420,Austria,AUT,1981,0,0,0,0
421,Austria,AUT,1982,0,0,0,0
422,Austria,AUT,1983,0,0,0,0
423,Austria,AUT,1984,0,0,0,0
424,Austria,AUT,1985,0.128196582,0,0,0
425,Austria,AUT,1986,0.250531346,0,0,0
426,Austria,AUT,1987,0.343262106,0,0,0
427,Austria,AUT,1988,0.481848419,0,0,0
428,Austria,AUT,1989,0.659865022,0,0,0
429,Austria,AUT,1990,0.954149246,0.13036938,10011,0
430,Austria,AUT,1991,1.484709144,0.259081542,20093,0
431,Austria,AUT,1992,2.202202559,0.642817616,50402,0
432,Austria,AUT,1993,2.798486948,0.765342712,60502,0
433,Austria,AUT,1994,3.500587463,1.393422961,110573,0
434,Austria,AUT,1995,4.800115108,1.890210509,150221,0
435,Austria,AUT,1996,7.467176914,6.909162521,549834,0
436,Austria,AUT,1997,14.43692112,9.533974648,759580,0
437,Austria,AUT,1998,28.51493263,15.42121887,1229974,0
438,Austria,AUT,1999,52.79261398,23.04431725,1841559,0.632210732
439,Austria,AUT,2000,75.80606079,33.73013306,2701927,2.360806704
440,Austria,AUT,2001,80.77554321,39.18545151,3150366,3.959125519
441,Austria,AUT,2002,82.80869293,36.56000137,2953680,5.544346809
442,Austria,AUT,2003,88.9693222,42.70000076,3467285,7.350915909
443,Austria,AUT,2004,97.26408386,54.27999878,4435335,10.58805656
444,Austria,AUT,2005,104.9838562,58,4771680,14.22400951
445,Austria,AUT,2006,112.0170898,63.59999847,5258302,17.2835331
446,Austria,AUT,2007,119.2243652,69.37000275,5754047,19.50987816
447,Austria,AUT,2008,129.6644287,72.87000275,6063611,20.72760773
448,Austria,AUT,2009,136.5634766,73.44999695,6127888,22.43639755
449,Austria,AUT,2010,145.5538025,75.16999817,6286338,24.38064766
450,Austria,AUT,2011,154.04953,78.73999023,6607231,24.81457138
451,Austria,AUT,2012,159.8169556,80.02999115,6746241,25.05461311
452,Austria,AUT,2013,155.1157837,80.6187973,6836105,26.09222412
453,Austria,AUT,2014,150.3457184,80.99582672,6921957,27.38179207
454,Austria,AUT,2015,155.2154694,83.94013977,7254461,28.29353905
455,Austria,AUT,2016,126.6614685,84.32374573,7366936,28.84661293
456,Austria,AUT,2017,123.1192932,87.93558502,7736130,28.47424316
457,Austria,AUT,2018,123.5352707,87.47913361,7733609,28.35552788
458,Austria,AUT,2019,119.7752991,87.7522049,7792342,28.12809944
459,Austria,AUT,2020,118.9981308,87.52942657,7796929,28.93498611
460,Azerbaijan,AZE,1980,0,0,0,0
461,Azerbaijan,AZE,1981,0,0,0,0
462,Azerbaijan,AZE,1982,0,0,0,0
463,Azerbaijan,AZE,1983,0,0,0,0
464,Azerbaijan,AZE,1984,0,0,0,0
465,Azerbaijan,AZE,1985,0,0,0,0
466,Azerbaijan,AZE,1986,0,0,0,0
467,Azerbaijan,AZE,1987,0,0,0,0
468,Azerbaijan,AZE,1988,0,0,0,0
469,Azerbaijan,AZE,1989,0,0,0,0
470,Azerbaijan,AZE,1990,0,0,0,0
471,Azerbaijan,AZE,1991,0,0,0,0
472,Azerbaijan,AZE,1992,0,0,0,0
473,Azerbaijan,AZE,1993,0,0,0,0
